S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
1,2021-12-31,Friday,Alni,Maharashtra,"18.278457450374876, 76.00957388786227",18.278457450374876,76.00957388786227,NH,Head On Collision ,4,0,Car,Tractor,Nil
2,2021-12-31,Friday,Hariharganj,Jharkhand,"24.543681356839087, 84.28057070288547",24.543681356839087,84.28057070288547,NH,Head On Collision ,6,18,Pick Up,Truck,Nil
3,2021-12-30,Thursday,Dabolim,Goa,"15.390068035586195, 73.85497360324335",15.390068035586195,73.85497360324335,NH,Fixed Object Collision,3,2,Car,Divider,Nil
4,2021-12-30,Thursday,Triplicane,Tamil Nadu,"13.067050304037062, 80.27014333317551",13.067050304037062,80.27014333317551,OR,Hit and Run,1,0,Pedestrian,Bus,Chennai
5,2021-12-30,Thursday,PS Salai Junction,Tamil Nadu,"13.039775780916695, 80.26465794801",13.039775780916695,80.26465794801,OR,Head On Collision ,1,1,Two Wheeler,Two Wheeler,Chennai
6,2021-12-30,Thursday,Lampolai,Rajasthan,"26.64362250050694, 74.19299113226057",26.64362250050694,74.19299113226057,NH,Head On Collision ,4,2,Two Wheeler,Car,Nil
7,2021-12-30,Thursday,Tanot ,Rajasthan,"27.793665237757928, 70.35519318244828",27.793665237757928,70.35519318244828,NH,Head On Collision ,2,9,Car,Car,Nil
8,2021-12-30,Thursday,Mettupalayam,Tamil Nadu,"11.299962063279324, 76.94191717015218",11.299962063279324,76.94191717015218,SH,Hit From Side,1,1,Two Wheeler,Two Wheeler,Coimbatore
9,2022-01-01,Saturday,Military Jalipa Cantt,Rajasthan,"25.808661598311467, 71.40488769828872",25.808661598311467,71.40488769828872,NH,Others,1,0,Two Wheeler,Truck,Nil
10,2021-12-31,Friday,Zaheerabad,Telangana,"17.692782870071433, 77.62231729628967",17.692782870071433,77.62231729628967,NH,Head On Collision ,4,0,Two Wheeler,Car,Nil
11,2022-01-01,Saturday,Nagarkurnool,Telangana,"16.48884543363603, 78.3091303972808",16.48884543363603,78.3091303972808,SH,Head On Collision ,2,0,Two Wheeler,Car,Nil
12,2022-01-01,Saturday,Chintapalli,Telangana,"16.526195268882535, 78.59603307218524",16.526195268882535,78.59603307218524,OR,Head On Collision ,2,0,Auto Rickshaw,Bus,Nil
13,2022-01-01,Saturday,Sikar Road,Rajasthan,"27.011963538352493, 75.76932901260889",27.011963538352493,75.76932901260889,NH,Hit and Run,1,0,Pedestrian,Car,Jaipur
14,2022-01-01,Saturday,Pista Chowk,Bihar,"25.188347677151736, 86.97434233075197",25.188347677151736,86.97434233075197,SH,Others,3,0,Two Wheeler,Truck,Nil
15,2022-01-01,Saturday,Sikandarpur,Bihar,"25.242396484247, 86.98888681844828",25.242396484247,86.98888681844828,OR,Head On Collision ,2,4,Two Wheeler,Two Wheeler,Nil
16,2022-01-01,Saturday,Muzaffarnagar,Uttar Pradesh,"29.47257166225623, 77.71737212387585",29.47257166225623,77.71737212387585,SH,Others,2,2,Bus,Truck,Nil
17,2022-01-01,Saturday,Arilova,Andhra Pradesh,"17.76444710552003, 83.31365612724099",17.76444710552003,83.31365612724099,OR,Head On Collision ,3,1,Two Wheeler,Two Wheeler,Vizag
18,2021-12-31,Friday,Injambakkam,Tamil Nadu,"12.917305822072388, 80.25066287055597",12.917305822072388,80.25066287055597,SH,Fixed Object Collision,1,0,Two Wheeler,Divider,Chennai
19,2022-01-01,Saturday,Sitra Junction,Tamil Nadu,"11.038158152772837, 77.03756589670454",11.038158152772837,77.03756589670454,NH,Hit From Side,1,0,Two Wheeler,Bus,Coimbatore
20,2022-01-01,Saturday,Targhar ,Maharashtra,"18.991748018503824, 73.03711475232855",18.991748018503824,73.03711475232855,NH,Hit and Run,1,1,Two Wheeler,Unidentified,Mumbai
21,2022-01-01,Saturday,Ulwe Bridge,Maharashtra,"18.976004872607675, 73.03152779361652",18.976004872607675,73.03152779361652,OR,Hit and Run,1,0,Two Wheeler,Unidentified,Mumbai
22,2022-01-02,Sunday,Hokrani Cross,Karnataka,"16.572508890221638, 75.9754540804605",16.572508890221638,75.9754540804605,SH,Others,1,4,Car,Two Wheeler,Nil
23,2022-01-02,Sunday,Bevur Cross,Karnataka,"14.89006685560942, 76.22398648067914",14.89006685560942,76.22398648067914,SH,Vehicle Overturn,1,7,Car,Nil,Nil
24,2022-01-02,Sunday,Sidedahalli,Karnataka,"13.066746957230484, 77.50327116691861",13.066746957230484,77.50327116691861,SH,With Parked Vehicle,1,0,Two Wheeler,Truck,Bengaluru
25,2022-01-02,Sunday,Nagavara,Karnataka,"13.040914155489357, 77.61704511801918",13.040914155489357,77.61704511801918,NH,Fixed Object Collision,1,1,Two Wheeler,Pole,Bengaluru
26,2022-01-04,Tuesday,Peroorkada,Kerala,"8.541149770701736, 76.97003582907308",8.541149770701736,76.97003582907308,SH,Fixed Object Collision,3,0,Two Wheeler,Tree,Thiruvananthapuram
27,2022-01-02,Sunday,Vhanali,Maharashtra,"16.5081867897076, 74.22019958556264",16.5081867897076,74.22019958556264,OR,Hit From Side,2,6,Truck,Tractor,Nil
28,2022-01-04,Tuesday,Bala,Gujarat,"22.776769204616333, 71.72962248310266",22.776769204616333,71.72962248310266,SH,Run Off Road,2,0,Car,Nil,Nil
29,2022-01-03,Monday,Gondal,Gujarat,"21.972787525777935, 70.78862073790624",21.972787525777935,70.78862073790624,NH,Head On Collision ,2,0,Car,Truck,Nil
30,2022-01-03,Monday,Dhrol,Gujarat,"22.560348618536842, 70.4258539831936",22.560348618536842,70.4258539831936,SH,Others,2,0,Two Wheeler,Bus,Nil
31,2022-01-03,Monday,Undri,Maharashtra,"18.45072219760597, 73.91614459634192",18.45072219760597,73.91614459634192,NH,Hit From Back,1,0,Car,Truck,Pune
32,2022-01-02,Sunday,Katraj-Dehu Bypass,Maharashtra,"18.486331175038483, 73.79708554934217",18.486331175038483,73.79708554934217,NH,Hit and Run,1,0,Two Wheeler,Unidentified,Pune
33,2022-01-04,Tuesday,Gadar Juddda,Uttarakhand,"29.794701671789223, 77.83802738617437",29.794701671789223,77.83802738617437,OR,Others,2,1,Two Wheeler,Truck,Nil
34,2022-01-02,Sunday,Gomtinagar,Uttar Pradesh,"26.847744161614127, 81.00770583339522",26.847744161614127,81.00770583339522,NH,Hit and Run,1,0,Pedestrian,Unidentified,Lucknow
35,2022-01-06,Thursday,Purvanchal Expressway Sultanpur,Uttar Pradesh,"26.23244327782419, 82.075673988543",26.23244327782419,82.075673988543,NH,Fixed Object Collision,4,2,SUV,Divider,Nil
36,2022-01-04,Tuesday,Shantinagar,Madhya Pradesh,"22.69729187357254, 75.90860390970307",22.69729187357254,75.90860390970307,OR,Others,1,2,Two Wheeler,Two Wheeler,Indore
37,2022-01-04,Tuesday,Manpur,Madhya Pradesh,"22.43115195743422, 75.61763951190622",22.43115195743422,75.61763951190622,NH,Run Off Road,1,0,Two Wheeler,Nil,Nil
38,2022-01-05,Wednesday,Santhipuram,Kerala,"9.478253797120738, 76.63121917622244",9.478253797120738,76.63121917622244,OR,Run Off Road,1,0,Auto Rickshaw,Nil,Nil
39,2022-01-06,Thursday,Hatherua Turn,Uttar Pradesh,"26.172269871051377, 79.96053447979006",26.172269871051377,79.96053447979006,SH,Fixed Object Collision,3,0,Car,Tree,Nil
40,2022-01-06,Thursday,Lambasingi,Andhra Pradesh,"17.819637365225628, 82.4917244273879",17.819637365225628,82.4917244273879,NH,Others,1,1,Two Wheeler,Lorry,Nil
41,2022-01-05,Wednesday,Patancheru,Telangana,"17.52559528053733, 78.27114402473659",17.52559528053733,78.27114402473659,NH,Fixed Object Collision,3,2,Auto Rickshaw,Divider,Nil
42,2022-01-06,Thursday,ORR PES College,Karnataka,"12.93497388725656, 77.53145535271094",12.93497388725656,77.53145535271094,SH,Fixed Object Collision,2,0,Two Wheeler,Divider,Bengaluru
43,2022-01-06,Thursday,Nagarbhavi Junction,Karnataka,"12.967955279692166, 77.52407059158364",12.967955279692166,77.52407059158364,OR,Fixed Object Collision,1,0,Two Wheeler,Divider,Bengaluru
44,2022-01-06,Thursday,Chinyalisour,Uttarakhand,"30.56554678240335, 78.32522300136368",30.56554678240335,78.32522300136368,NH,Vehicle Overturn,1,4,Car,Gorge,Nil
45,2022-01-07,Friday,Sahaspur Bridge,Uttarakhand,"30.38157293024726, 77.79771572590872",30.38157293024726,77.79771572590872,OR,Run Off Road,1,1,Car,Nil,Nil
46,2022-01-07,Friday,NICE Road,Karnataka,"12.858376301854657, 77.52802094205354",12.858376301854657,77.52802094205354,OR,Hit From Back,4,0,SUV,Truck,Bengaluru
47,2022-01-07,Friday,Sola Overbridge,Gujarat,"23.059882776138668, 72.52057320671621",23.059882776138668,72.52057320671621,NH,Hit From Back,1,0,SUV,Truck,Ahmedabad
48,2022-01-08,Saturday,Gopalapuram,Andhra Pradesh,"17.10266311413749, 81.54442477542945",17.10266311413749,81.54442477542945,NH,Others,1,0,Two Wheeler,Tractor,Nil
49,2022-01-08,Saturday,Jeelkunta,Andhra Pradesh,"17.033617916586227, 80.64713177640807",17.033617916586227,80.64713177640807,NH,Head On Collision ,1,0,Two Wheeler,Car,Nil
50,2022-01-09,Sunday,Nandgaon,Maharashtra,"20.313796870359038, 74.66384510003404",20.313796870359038,74.66384510003404,SH,Head On Collision ,4,14,Bus,Truck,Nil
51,2022-01-09,Sunday,Botad,Gujarat,"22.17985011402323, 71.65078918083432",22.17985011402323,71.65078918083432,SH,Hit and Run,5,10,Van,Unidentified,Nil
52,2022-01-09,Sunday,Sheekanagar,Andhra Pradesh,"17.716464062931237, 83.20411089794794",17.716464062931237,83.20411089794794,SH,Others,1,0,Two Wheeler,Two Wheeler,Vizag
53,2022-01-09,Sunday,Botad,Gujarat,"22.15122333271011, 71.65877930084991",22.15122333271011,71.65877930084991,NH,Others,5,10,Van,Unidentified,Nil
54,2022-01-09,Sunday,Lawan,Chhattisgarh,"21.644400876907138, 82.34278934682449",21.644400876907138,82.34278934682449,NH,Run Off Road,1,5,SUV,Nil,Nil
55,2022-01-09,Sunday,Mumbai Naka,Maharashtra,"19.9864533330699, 73.78419165143977",19.9864533330699,73.78419165143977,NH,Others,1,0,Bicycle,Unidentified,Mumbai
56,2022-01-10,Monday,Kumbalagodu,Karnataka,"12.879137929078608, 77.4456388022993",12.879137929078608,77.4456388022993,NH,Others,6,0,Two Wheeler,Truck,Nil
57,2022-01-10,Monday,Navale Bridge,Maharashtra,"18.46087329898162, 73.82215405131329",18.46087329898162,73.82215405131329,NH,Hit From Back,1,1,Two Wheeler,Truck,Pune
58,2022-01-09,Sunday,Arjunahalli Gate,Karnataka,"12.52753677679566, 76.3833438370817",12.52753677679566,76.3833438370817,OR,Hit and Run,2,1,Two Wheeler,Truck,Nil
59,2022-01-09,Sunday,Kishangarh,Rajasthan,"26.589105945186247, 74.85948627660595",26.589105945186247,74.85948627660595,NH,Others,1,1,Two Wheeler,Truck,Nil
60,2022-01-09,Sunday,Mirchi Hotel,Maharashtra,"20.006780537290215, 73.8291134262243",20.006780537290215,73.8291134262243,OR,Others,1,0,Two Wheeler,Truck,Nashik
61,2022-01-09,Sunday,RTO Office ,Maharashtra,"20.033277226299347, 73.79524144570404",20.033277226299347,73.79524144570404,NH,Fixed Object Collision,1,0,Two Wheeler,Pole,Nashik
62,2022-01-09,Sunday,Nashik Road,Maharashtra,"19.969737942887757, 73.81769001774795",19.969737942887757,73.81769001774795,SH,Head On Collision ,2,0,Two Wheeler,Two Wheeler,Nashik
63,2022-01-11,Tuesday,Adigoppula,Andhra Pradesh,"16.436925517988787, 79.61217474801305",16.436925517988787,79.61217474801305,SH,Run Off Road,3,0,Car,Canal,Nil
64,2022-01-09,Sunday,Konankunte Cross,Karnataka,"12.889577748612352, 77.56353894092923",12.889577748612352,77.56353894092923,OR,Hit and Run,1,1,Pedestrian,Unidentified,Bengaluru
65,2022-01-12,Wednesday,Atlas Chowk,Haryana,"28.490430130784237, 77.08153241633956",28.490430130784237,77.08153241633956,NH,With Parked Vehicle,1,0,Car,Truck,Nil
66,2022-01-12,Wednesday,Budihal Cross,Karnataka,"13.130457182123903, 77.35974095043811",13.130457182123903,77.35974095043811,NH,Others,1,0,Two Wheeler,Pick Up,Nil
67,2022-01-14,Friday,Kananakatte,Karnataka,"14.553328636829782, 76.43302899167439",14.553328636829782,76.43302899167439,NH,Fixed Object Collision,7,0,Car,Divider,Nil
68,2022-01-13,Thursday,Vajarahalli Cross,Karnataka,"12.874086694098173, 77.54072195604662",12.874086694098173,77.54072195604662,OR,Others,1,1,Two Wheeler,Truck,Bengaluru
69,2022-01-13,Thursday,Bicholi Mardana,Madhya Pradesh,"22.708244322203562, 75.92920211827541",22.708244322203562,75.92920211827541,NH,Others,3,3,Two Wheeler,Pick Up,Indore
70,2022-01-14,Friday,Ratnamala Square ,Maharashtra,"20.23465588078181, 79.01543924056895",20.23465588078181,79.01543924056895,NH,Head On Collision ,2,12,Bus,Truck,Nil
71,2022-01-14,Friday,Pozhiyoor,Kerala,"8.30188369743812, 77.09326536242052",8.30188369743812,77.09326536242052,OR,Hit and Run,1,0,Pedestrian,Unidentified,Nil
72,2022-01-14,Friday,Kolkata Airport,West Bengal,"22.64953470429659, 88.43818561245637",22.64953470429659,88.43818561245637,OR,Vehicle Overturn,1,0,Tractor,Nil,Kolkata
73,2022-01-14,Friday,Kakkanad,Kerala,"10.011092687874317, 76.3421924153654",10.011092687874317,76.3421924153654,SH,Fixed Object Collision,1,1,Two Wheeler,Divider,Nil
74,2022-01-15,Saturday,Colva ,Goa,"15.281550861387068, 73.94696758933536",15.281550861387068,73.94696758933536,OR,Others,2,0,Two Wheeler,Car,Nil
75,2022-01-15,Saturday,Chimrani,Rajasthan,"27.118968964289532, 73.67248311917048",27.118968964289532,73.67248311917048,NH,Others,5,2,Car,Bus,Nil
76,2022-01-15,Saturday,Vatva,Gujarat,"22.961108702798008, 72.61966017499154",22.961108702798008,72.61966017499154,OR,Hit and Run,2,0,Two Wheeler,Unidentified,Ahmedabad
77,2022-01-16,Sunday,Laklaka,Madhya Pradesh,"23.523684332362315, 79.37929010088607",23.523684332362315,79.37929010088607,OR,Head On Collision ,3,2,Two Wheeler,Two Wheeler,Nil
78,2022-01-16,Sunday,Mandla,Madhya Pradesh,"22.601570130287165, 80.38020370045963",22.601570130287165,80.38020370045963,SH,Run Off Road,3,0,Tractor,Nil,Nil
79,2022-01-16,Sunday,Sailana,Madhya Pradesh,"23.459623017585365, 74.92905852422956",23.459623017585365,74.92905852422956,OR,Hit and Run,1,0,Pedestrian,Car,Nil
80,2022-01-15,Saturday,Jandiali,Punjab,"31.21441147347508, 75.62514255479414",31.21441147347508,75.62514255479414,OR,Hit From Back,2,1,Two Wheeler,Car,Nil
81,2022-01-17,Monday,Sahson Crossing,Uttar Pradesh,"25.484100715535924, 81.97930524084148",25.484100715535924,81.97930524084148,SH,Hit and Run,1,0,Pedestrian,Van,Nil
82,2022-01-17,Monday,Gurukul Vidhyala Road,Uttar Pradesh,"25.513167610968466, 81.8661763224527",25.513167610968466,81.8661763224527,NH,Vehicle Overturn,1,1,Truck,Canal,Prayagraj
83,2022-01-16,Sunday,Powai,Maharashtra,"19.121440192296998, 72.90781946380115",19.121440192296998,72.90781946380115,OR,Others,1,2,Two Wheeler,Truck,Mumbai
84,2022-01-18,Tuesday,Khanpur,Rajasthan,"24.767306763386095, 76.39400027518448",24.767306763386095,76.39400027518448,NH,Others,1,2,Nil,Nil,Nil
85,2022-01-18,Tuesday,Katesar,Uttar Pradesh,"27.76748297692978, 80.84767138661462",27.76748297692978,80.84767138661462,SH,Hit From Side,1,1,Two Wheeler,Truck,Nil
86,2022-01-16,Sunday,Hotel Shetkari Mala ,Maharashtra,"18.553896418910426, 73.7243675904804",18.553896418910426,73.7243675904804,OR,Run Off Road,1,0,Two Wheeler,Nil,Pune
87,2022-01-15,Saturday,Oberoi Mall,Maharashtra,"19.17442005976027, 72.85976934887162",19.17442005976027,72.85976934887162,OR,Head On Collision ,2,1,Two Wheeler,Truck,Mumbai
88,2022-01-20,Thursday,Pali Wala,Rajasthan,"29.449454153821858, 73.87581502395967",29.449454153821858,73.87581502395967,NH,Head On Collision ,3,0,Truck,Truck,Nil
89,2022-01-18,Tuesday,Tardoli,Maharashtra,"18.261509125346837, 74.3476151574748",18.261509125346837,74.3476151574748,OR,Hit From Back,3,1,Car,Tractor,Nil
90,2022-01-19,Wednesday,Road 17 VKI,Rajasthan,"26.921072245843384, 75.80705975340842",26.921072245843384,75.80705975340842,OR,Head On Collision ,2,5,Bus,Truck,Jaipur
91,2022-01-19,Wednesday,Veeraghattam,Andhra Pradesh,"18.687104227193668, 83.61095538153519",18.687104227193668,83.61095538153519,SH,Fixed Object Collision,1,0,Two Wheeler,Culvert,Nil
92,2022-01-19,Wednesday,Meliaputti,Andhra Pradesh,"18.77406040183497, 84.17383431188013",18.77406040183497,84.17383431188013,SH,Hit From Side,1,0,Pedestrian,Van,Nil
93,2022-01-19,Wednesday,Hotel Sheraton,Madhya Pradesh,"22.7741266742808, 75.93616228783264",22.7741266742808,75.93616228783264,NH,Hit and Run,1,0,Pedestrian,Truck,Indore
94,2022-01-21,Friday,Naranpura,Gujarat,"23.056229102084114, 72.54839248535511",23.056229102084114,72.54839248535511,NH,Hit From Back,1,1,Two Wheeler,Truck,Ahmedabad
95,2022-01-21,Friday,KR Puram,Karnataka,"13.013395634204327, 77.69952194675402",13.013395634204327,77.69952194675402,NH,Hit and Run,1,0,Pedestrian,Truck,Bengaluru
96,2022-01-20,Thursday,Shewalwadi,Maharashtra,"18.496302418026232, 73.97119797630161",18.496302418026232,73.97119797630161,NH,Hit and Run,1,2,Two Wheeler,Unidentified,Pune
97,2022-01-22,Saturday,Bidu,Odisha,"21.281443452879415, 86.69191416872226",21.281443452879415,86.69191416872226,OR,Hit From Back,6,20,Bus,Truck,Nil
98,2022-01-21,Friday,Hatkeshwar Circle,Gujarat,"22.998945315199972, 72.62465978696193",22.998945315199972,72.62465978696193,OR,Others,1,1,Two Wheeler,Truck,Ahmedabad
99,2022-01-22,Saturday,O'Coqueiro Junction,Goa,"15.531446645685621, 73.82481100458244",15.531446645685621,73.82481100458244,NH,Others,2,0,Two Wheeler,Truck,Nil
100,2022-01-23,Sunday,Shikrapur,Maharashtra,"18.684734908209716, 74.11586934949585",18.684734908209716,74.11586934949585,SH,Others,5,5,Two Wheeler,Truck,Nil
101,2022-01-23,Sunday,Bahadurpur,Bihar,"25.192410594168933, 82.8270546312142",25.192410594168933,82.8270546312142,OR,Hit From Side,2,1,Pedestrian,Car,Nil
102,2022-01-22,Saturday,Chunar,Uttar Pradesh,"25.10276774054831, 82.8672602963507",25.10276774054831,82.8672602963507,NH,Fixed Object Collision,1,0,Two Wheeler,Tree,Nil
103,2022-01-22,Saturday,Morod ,Madhya Pradesh,"22.637960655646225, 75.86771888717327",22.637960655646225,75.86771888717327,NH,Others,1,2,Two Wheeler,Truck,Indore
104,2022-01-22,Saturday,Usmanpur,Gujarat,"23.04697914071979, 72.56910733421006",23.04697914071979,72.56910733421006,OR,Hit From Back,1,1,Two Wheeler,Bus,Ahmedabad
105,2022-01-22,Saturday,Bhumkar Chowk,Maharashtra,"18.605266069304246, 73.75217758015306",18.605266069304246,73.75217758015306,NH,With Parked Vehicle,1,0,Two Wheeler,Truck,Nil
106,2022-01-25,Tuesday,Selsura ,Maharashtra,"20.637156359208134, 78.47350022936271",20.637156359208134,78.47350022936271,NH,Vehicle Overturn,7,0,Car,River,Nil
107,2022-01-23,Sunday,Pappanchatram,Tamil Nadu,"13.032318332628448, 80.03671137585036",13.032318332628448,80.03671137585036,NH,Others,1,1,Car,Truck,Nil
108,2022-01-23,Sunday,Metro colony,West Bengal,"22.61203487217105, 88.39303596485522",22.61203487217105,88.39303596485522,OR,Others,1,0,Bicycle,Truck,Kolkata
109,2022-01-23,Sunday,Papanchataram,Tamil Nadu,"13.032541681756019, 80.0371376290023",13.032541681756019,80.0371376290023,NH,Head On Collision ,1,0,Car,Car,Nil
110,2022-01-23,Sunday,Pithampur,Madhya Pradesh,"22.594745827533117, 75.7003748573627",22.594745827533117,75.7003748573627,NH,Hit From Back,1,0,Two Wheeler,Truck,Indore
111,2022-01-24,Monday,Ramgarh Bhullar,Punjab,"30.858836810837854, 75.48669577236953",30.858836810837854,75.48669577236953,OR,With Parked Vehicle,1,2,Auto Rickshaw,Truck,Nil
112,2022-01-25,Tuesday,Nishatpura,Madhya Pradesh,"23.293852728757138, 77.43635540033472",23.293852728757138,77.43635540033472,OR,Hit and Run,1,0,Pedestrian,Truck,Bhopal
113,2022-01-27,Thursday,Chilakaluripet,Andhra Pradesh,"16.080937609341778, 80.15831819833785",16.080937609341778,80.15831819833785,NH,Others,2,1,Car,Truck,Nil
114,2022-01-26,Wednesday,Chinchani,Maharashtra,"19.883564516772523, 72.68264417660346",19.883564516772523,72.68264417660346,OR,Head On Collision ,1,5,Pedestrian,Car,Nil
115,2022-01-27,Thursday,Ranmochan T Point,Maharashtra,"20.608413591260497, 79.85587713179397",20.608413591260497,79.85587713179397,NH,Hit From Side,2,2,Car,Tractor,Nil
116,2022-01-26,Wednesday,Banashankari,Karnataka,"12.953940017532453, 77.54359380855148",12.953940017532453,77.54359380855148,NH,Fixed Object Collision,1,0,Two Wheeler,Divider,Bengaluru
117,2022-01-27,Thursday,Darsi,Andhra Pradesh,"15.75873311270647, 79.67422646980734",15.75873311270647,79.67422646980734,NH,Hit From Back,2,1,Car,Tractor,Nil
118,2022-01-27,Thursday,Kolukhedi ,Madhya Pradesh,"23.53469623782937, 77.22595938027769",23.53469623782937,77.22595938027769,NH,Fixed Object Collision,1,3,SUV,Tree,Nil
119,2022-01-26,Wednesday,Ummalada,Andhra Pradesh,"17.647684108050818, 82.99488444844167",17.647684108050818,82.99488444844167,SH,Others,2,0,Two Wheeler,Lorry,Nil
120,2022-01-27,Thursday,Harsil,Uttarakhand,"31.037472816888762, 78.73627773458514",31.037472816888762,78.73627773458514,NH,Vehicle Overturn,2,2,Car,Gorge,Nil
121,2022-01-28,Friday,Sujatha Nagar,Telangana,"17.490912151289685, 80.57321678720476",17.490912151289685,80.57321678720476,SH,Others,4,8,Pick Up,Truck,Nil
122,2022-01-28,Friday,Siddheshwara Temple,Karnataka,"15.903511995945669, 74.55948072624453",15.903511995945669,74.55948072624453,OR,Hit From Back,1,1,Pedestrian,Car,Nil
123,2022-01-28,Friday,Badangi,Andhra Pradesh,"18.4954422867835, 83.36932057015237",18.4954422867835,83.36932057015237,SH,Hit and Run,1,0,Pedestrian,Unidentified,Nil
124,2022-01-30,Sunday,Kamam,Telangana,"18.428038071455486, 79.13507468317677",18.428038071455486,79.13507468317677,NH,Hit and Run,4,2,Pedestrian,SUV,Nil
125,2022-01-30,Sunday,Pallikaranai,Tamil Nadu,"12.941901560510074, 80.20647395762994",12.941901560510074,80.20647395762994,OR,Head On Collision ,1,5,Truck,Truck,Chennai
126,2022-01-30,Sunday,Taat Mill Junction,Uttar Pradesh,"26.448594325625667, 80.343810933111",26.448594325625667,80.343810933111,OR,Others,6,9,Pedestrian,Bus,Kanpur
127,2022-01-29,Saturday,Sholavaram,Tamil Nadu,"13.235809378630744, 80.16228431393661",13.235809378630744,80.16228431393661,OR,Hit From Back,2,0,Two Wheeler,Lorry,Nil
128,2022-01-30,Sunday,Rajaram Village,Telangana,"18.989326374344998, 79.08330736132393",18.989326374344998,79.08330736132393,OR,Head On Collision ,3,0,Two Wheeler,Auto Rickshaw,Nil
129,2022-01-31,Monday,Ranigaon,Rajasthan,"27.092451869286297, 74.42748015803826",27.092451869286297,74.42748015803826,SH,Run Off Road,1,3,Car,Nil,Nil
130,2022-01-31,Monday,Nakoda ,Rajasthan,"25.792933776374106, 72.1629058029464",25.792933776374106,72.1629058029464,OR,Head On Collision ,1,0,Two Wheeler,Truck,Nil
131,2022-02-01,Tuesday,Bandri,Madhya Pradesh,"24.044934899671098, 78.6394929061528",24.044934899671098,78.6394929061528,NH,Hit and Run,3,0,Car,Unidentified,Nil
132,2022-02-01,Tuesday,Balaghat ,Madhya Pradesh,"21.815346974057224, 80.17806276395049",21.815346974057224,80.17806276395049,SH,Others,1,3,Car,Truck,Nil
133,2022-01-31,Monday,Gondal road,Gujarat,"22.209325349494875, 70.8009083158295",22.209325349494875,70.8009083158295,NH,Hit From Back,1,1,Two Wheeler,Truck,Rajkot
134,2022-01-31,Monday,Bhawarkua,Madhya Pradesh,"22.68448170947923, 75.86399687841984",22.68448170947923,75.86399687841984,OR,Others,1,0,Pedestrian,Bus,Indore
135,2022-02-03,Thursday,Kishtawar,Jammu,"33.303370177922346, 75.77549202867355",33.303370177922346,75.77549202867355,OR,Vehicle Overturn,6,0,Car,Gorge,Nil
136,2022-02-02,Wednesday,AB Road Junction,Madhya Pradesh,"22.48983884444052, 75.66671181495484",22.48983884444052,75.66671181495484,NH,Hit and Run,1,2,Two Wheeler,Unidentified,Nil
137,2022-02-01,Tuesday,Ramenahalli,Karnataka,"12.293012045391656, 76.2663866231776",12.293012045391656,76.2663866231776,OR,Others,2,2,Car,Truck,Nil
138,2022-02-03,Thursday,Lankelapalem,Andhra Pradesh,"17.666465319754213, 83.09425625830963",17.666465319754213,83.09425625830963,SH,Hit and Run,1,0,Pedestrian,Unidentified,Vizag
139,2022-02-03,Thursday,Barmer Rd,Rajasthan,"26.910703910916826, 70.9337404020313",26.910703910916826,70.9337404020313,NH,Others,3,1,SUV,Truck,Nil
140,2022-02-03,Thursday,Sankli,Gujarat,"21.040615852412476, 73.4061732227355",21.040615852412476,73.4061732227355,OR,Others,3,2,Two Wheeler,Bus,Nil
141,2022-02-03,Thursday,Arayankavu,Kerala,"9.83194947142872, 76.4244288982524",9.83194947142872,76.4244288982524,OR,Head On Collision ,1,0,Two Wheeler,Car,Nil
142,2022-02-03,Thursday,Nettoor,Kerala,"9.929597110544417, 76.31779942841041",9.929597110544417,76.31779942841041,NH,Hit From Back,1,0,Two Wheeler,Truck,Kochi
143,2022-02-02,Wednesday,Nadiad,Gujarat,"22.682739814166254, 72.90717749509794",22.682739814166254,72.90717749509794,NH,Others,1,1,Truck,Truck,Nil
144,2022-02-03,Thursday,Nadbai Police Station ,Rajasthan,"27.21585406766396, 77.20152201303823",27.21585406766396,77.20152201303823,SH,Others,1,2,Two Wheeler,Tractor,Nil
145,2022-02-03,Thursday,Bhilwadi Ghati,Rajasthan,"27.41685838705793, 76.10444383342535",27.41685838705793,76.10444383342535,NH,Head On Collision ,3,0,Car,Truck,Nil
146,2022-02-03,Thursday,Tiruvallur,Tamil Nadu,"13.12297281283396, 79.91173226564752",13.12297281283396,79.91173226564752,SH,Hit From Back,1,1,Two Wheeler,Truck,Nil
147,2022-02-03,Thursday,Thiruvallur,Tamil Nadu,"13.126032102413575, 79.91089197828818",13.126032102413575,79.91089197828818,SH,Hit and Run,1,0,Pedestrian,Truck,Nil
148,2022-02-04,Friday,Safipur,Uttar Pradesh,"26.738629447023207, 80.35052740128569",26.738629447023207,80.35052740128569,SH,Hit From Side,3,1,Car,Truck,Nil
149,2022-02-05,Saturday,Krishnayapalem,Andhra Pradesh,"16.82089116931901, 81.59278745690153",16.82089116931901,81.59278745690153,SH,Fixed Object Collision,3,0,Two Wheeler,Pole,Nil
150,2022-02-06,Sunday,Budagavi,Andhra Pradesh,"14.962623936340337, 77.23330737491476",14.962623936340337,77.23330737491476,NH,Others,9,0,Car,Truck,Nil
151,2022-02-05,Saturday,Pirappancode,Kerala,"8.659199326714372, 76.91968191971127",8.659199326714372,76.91968191971127,SH,Fixed Object Collision,1,2,SUV,Tree,Nil
